Static_Library_Name,Item_Category,Number_of_Issues,Number_of_Renewals,Total,Year
Woodstock Road Library,Adult Fiction Large Print,345,101,446,2021
Woodstock Road Library,Adult Fiction Spoken Word,596,245,841,2021
Woodstock Road Library,Adult Non-fiction,2075,1970,4045,2021
Woodstock Road Library,Adult Non-fiction Large Print,14,8,22,2021
Woodstock Road Library,Adult Non-fiction Spoken Word,4,,4,2021
Woodstock Road Library,Adult Reference,12,23,35,2021
Woodstock Road Library,Curriculum Support Collection,67,29,96,2021
Woodstock Road Library,DVD U,,2,2,2021
Woodstock Road Library,Junior Fiction,11436,3619,15055,2021
Woodstock Road Library,Junior Fiction Large Print,2,2,4,2021
Woodstock Road Library,Junior Fiction Spoken Word,1,2,3,2021
Woodstock Road Library,Junior Language Pack,3,9,12,2021
Woodstock Road Library,Junior Non-fiction,1488,628,2116,2021
Woodstock Road Library,Junior Non-fiction Spoken Word,4,,4,2021
Woodstock Road Library,Language Course ,5,9,14,2021
Woodstock Road Library,Music CD,124,21,145,2021
Woodstock Road Library,Reading Development,31,19,50,2021
Woodstock Road Library,Reading Group,87,40,127,2021
Woodstock Road Library,Reference Non-borrowable,2,,2,2021
Woodstock Road Library,Teenage Fiction,131,90,221,2021
Woodstock Road Library,Teenage Non-fiction,21,14,35,2021
Woodstock Road Library,Uncategorised,,1,1,2021
Antrim Library,Adult Fiction,15304,5108,20412,2020
Antrim Library,Adult Fiction Large Print,867,260,1127,2020
Antrim Library,Adult Fiction Spoken Word,680,280,960,2020
Antrim Library,Adult Non-fiction,3664,2573,6237,2020
Antrim Library,Adult Non-fiction Large Print,8,7,15,2020
Antrim Library,Adult Non-fiction Spoken Word,46,30,76,2020
Antrim Library,Adult Reference,45,86,131,2020
Antrim Library,Curriculum Support Collection,91,99,190,2020
Antrim Library,DVD Exempt,1,,1,2020
Antrim Library,Junior Fiction,26382,6509,32891,2020
Antrim Library,Junior Fiction Large Print,58,22,80,2020
Antrim Library,Junior Fiction Spoken Word,98,17,115,2020
Antrim Library,Junior Language Pack,44,48,92,2020
Antrim Library,Junior Non-fiction,3249,1036,4285,2020
Antrim Library,Junior Non-fiction Spoken Word,13,3,16,2020
Antrim Library,Music CD,,8,8,2020
Antrim Library,Reading Development,20,14,34,2020
Antrim Library,Reading Group,79,32,111,2020
Antrim Library,Teenage Fiction,656,254,910,2020
Antrim Library,Teenage Non-fiction,53,23,76,2020
Antrim Library,Uncategorised,3,,3,2020
Ardoyne Library,Adult Fiction,4095,1619,5714,2020
Ardoyne Library,Adult Fiction Large Print,290,204,494,2020
Ardoyne Library,Adult Fiction Spoken Word,264,58,322,2020
Ardoyne Library,Adult Non-fiction,1022,1268,2290,2020
Ardoyne Library,Adult Non-fiction Large Print,6,6,12,2020
Ardoyne Library,Adult Non-fiction Spoken Word,7,9,16,2020
Ardoyne Library,Adult Reference,,10,10,2020
Ardoyne Library,Curriculum Support Collection,47,90,137,2020
Ardoyne Library,DVD 15,1,,1,2020
Ardoyne Library,DVD PG,1,,1,2020
Ardoyne Library,DVD U,7,,7,2020
Ardoyne Library,Junior Fiction,7765,1697,9462,2020
Ardoyne Library,Junior Fiction Large Print,3,1,4,2020
Ardoyne Library,Junior Fiction Spoken Word,8,3,11,2020
Ardoyne Library,Junior Language Pack,1,9,10,2020
Ardoyne Library,Junior Non-fiction,763,283,1046,2020
Ardoyne Library,Junior Non-fiction Spoken Word,2,3,5,2020
Ardoyne Library,Reading Development,9,3,12,2020
Ardoyne Library,Reference Non-borrowable,17,25,42,2020
Ardoyne Library,Teenage Fiction,38,14,52,2020
Ardoyne Library,Teenage Non-fiction,24,12,36,2020
Armagh Irish and Local Studies Library,Adult Fiction,17,41,58,2020
Armagh Irish and Local Studies Library,Adult Fiction Large Print,,1,1,2020
Armagh Irish and Local Studies Library,Adult Non-fiction,12,10,22,2020
Armagh Irish and Local Studies Library,Junior Fiction,6,19,25,2020
Armagh Irish and Local Studies Library,Junior Non-fiction,2,,2,2020
Armagh Irish and Local Studies Library,Teenage Fiction,1,,1,2020
Armagh Library,Adult Fiction,12995,6568,19563,2020
Armagh Library,Adult Fiction Large Print,1248,430,1678,2020
Armagh Library,Adult Fiction Spoken Word,533,442,975,2020
Armagh Library,Adult Non-fiction,3104,3049,6153,2020
Armagh Library,Adult Non-fiction Large Print,20,5,25,2020
Armagh Library,Adult Non-fiction Spoken Word,43,66,109,2020
Armagh Library,Adult Reference,5,,5,2020
Armagh Library,Chatterbooks,,6,6,2020
Armagh Library,Curriculum Support Collection,111,234,345,2020
Armagh Library,Junior Fiction,25929,7466,33395,2020
Armagh Library,Junior Fiction Large Print,21,14,35,2020
Armagh Library,Junior Fiction Spoken Word,42,11,53,2020
Armagh Library,Junior Language Pack,44,35,79,2020
Armagh Library,Junior Non-fiction,2913,1068,3981,2020
Armagh Library,Junior Non-fiction Spoken Word,5,10,15,2020
Armagh Library,Music CD,71,13,84,2020
Armagh Library,Reading Development,19,13,32,2020
Armagh Library,Reading Group,217,78,295,2020
Armagh Library,Reference Non-borrowable,1,,1,2020
Armagh Library,Teenage Fiction,494,344,838,2020
Armagh Library,Teenage Non-fiction,48,40,88,2020
Armagh Library,Uncategorised,2,,2,2020
Ballycastle Library,Adult Fiction,5985,2968,8953,2020
Ballycastle Library,Adult Fiction Large Print,670,221,891,2020
Ballycastle Library,Adult Fiction Spoken Word,392,158,550,2020
Ballycastle Library,Adult Non-fiction,2224,1764,3988,2020
Ballycastle Library,Adult Non-fiction Large Print,14,4,18,2020
Ballycastle Library,Adult Non-fiction Spoken Word,28,12,40,2020
Ballycastle Library,Adult Reference,15,59,74,2020
Ballycastle Library,Chatterbooks,3,3,6,2020
Ballycastle Library,Curriculum Support Collection,35,30,65,2020
Ballycastle Library,Junior Fiction,13110,3772,16882,2020
Ballycastle Library,Junior Fiction Large Print,5,1,6,2020
Ballycastle Library,Junior Fiction Spoken Word,16,34,50,2020
Ballycastle Library,Junior Language Pack,30,58,88,2020
Ballycastle Library,Junior Non-fiction,1626,802,2428,2020
Ballycastle Library,Junior Non-fiction Spoken Word,1,,1,2020
Ballycastle Library,Language Course ,1,7,8,2020
Ballycastle Library,Music CD,4,,4,2020
Ballycastle Library,Reading Development,61,30,91,2020
Ballycastle Library,Reading Group,15,19,34,2020
Ballycastle Library,Reference Non-borrowable,3,,3,2020
Ballycastle Library,Teenage Fiction,126,56,182,2020
Ballycastle Library,Teenage Non-fiction,26,11,37,2020
Ballyclare Library,Adult Fiction,7584,3653,11237,2020
Ballyclare Library,Adult Fiction Large Print,1001,307,1308,2020
Ballyclare Library,Adult Fiction Spoken Word,423,201,624,2020
Ballyclare Library,Adult Non-fiction,1751,1799,3550,2020
Ballyclare Library,Adult Non-fiction Large Print,12,17,29,2020
Ballyclare Library,Adult Non-fiction Spoken Word,13,7,20,2020
Ballyclare Library,Adult Reference,2,1,3,2020
Ballyclare Library,Curriculum Support Collection,42,24,66,2020
Ballyclare Library,DVD PG,1,,1,2020
Ballyclare Library,DVD U,1,,1,2020
Ballyclare Library,Junior Fiction,18965,5760,24725,2020
Ballyclare Library,Junior Fiction Large Print,8,5,13,2020
Ballyclare Library,Junior Fiction Spoken Word,31,16,47,2020
Ballyclare Library,Junior Language Pack,12,7,19,2020
Ballyclare Library,Junior Non-fiction,2276,892,3168,2020
Ballyclare Library,Junior Non-fiction Large Print,,3,3,2020
Ballyclare Library,Junior Non-fiction Spoken Word,7,6,13,2020
Ballyclare Library,Language Course ,,4,4,2020
Ballyclare Library,Music CD,1,97,98,2020
Ballyclare Library,Reading Development,46,18,64,2020
Ballyclare Library,Reading Group,222,28,250,2020
Ballyclare Library,Reference Non-borrowable,5,1,6,2020
Ballyclare Library,Teenage Fiction,211,124,335,2020
Ballyclare Library,Teenage Non-fiction,39,23,62,2020
Ballyclare Library,Uncategorised,,1,1,2020
Ballyhackamore Library,Adult Fiction,13565,7755,21320,2020
Ballyhackamore Library,Adult Fiction Large Print,589,269,858,2020
Ballyhackamore Library,Adult Fiction Spoken Word,747,497,1244,2020
Ballyhackamore Library,Adult Non-fiction,3105,3566,6671,2020
Ballyhackamore Library,Adult Non-fiction Large Print,21,11,32,2020
Ballyhackamore Library,Adult Non-fiction Spoken Word,17,16,33,2020
Ballyhackamore Library,Adult Reference,5,11,16,2020
Ballyhackamore Library,Chatterbooks,56,23,79,2020
Ballyhackamore Library,Curriculum Support Collection,68,148,216,2020
Ballyhackamore Library,DVD 15,1,1,2,2020
Ballyhackamore Library,DVD U,1,,1,2020
Ballyhackamore Library,Junior Fiction,30889,13279,44168,2020
Ballyhackamore Library,Junior Fiction Large Print,8,10,18,2020
Ballyhackamore Library,Junior Fiction Spoken Word,66,38,104,2020
Ballyhackamore Library,Junior Language Pack,34,40,74,2020
Ballyhackamore Library,Junior Non-fiction,4780,2430,7210,2020
Ballyhackamore Library,Junior Non-fiction Spoken Word,19,6,25,2020
Ballyhackamore Library,Music CD,1,1,2,2020
Ballyhackamore Library,Reading Development,42,53,95,2020
Ballyhackamore Library,Reading Group,354,181,535,2020
Ballyhackamore Library,Reference Non-borrowable,3,,3,2020
Ballyhackamore Library,Teenage Fiction,548,452,1000,2020
Ballyhackamore Library,Teenage Non-fiction,55,55,110,2020
Ballyhackamore Library,Uncategorised,,3,3,2020
Ballymena Central Library,Adult Fiction,20896,10129,31025,2020
Ballymena Central Library,Adult Fiction Large Print,1227,339,1566,2020
Ballymena Central Library,Adult Fiction Spoken Word,461,409,870,2020
Ballymena Central Library,Adult Non-fiction,4821,5925,10746,2020
Ballymena Central Library,Adult Non-fiction Large Print,43,36,79,2020
Ballymena Central Library,Adult Non-fiction Spoken Word,54,56,110,2020
Ballymena Central Library,Adult Reference,8,15,23,2020
Ballymena Central Library,Chatterbooks,98,83,181,2020
Ballymena Central Library,Curriculum Support Collection,148,204,352,2020
Ballymena Central Library,Junior Fiction,30044,11526,41570,2020
Ballymena Central Library,Junior Fiction Large Print,55,25,80,2020
Ballymena Central Library,Junior Fiction Spoken Word,81,56,137,2020
Ballymena Central Library,Junior Language Pack,57,59,116,2020
Ballymena Central Library,Junior Non-fiction,2706,1646,4352,2020
Ballymena Central Library,Junior Non-fiction Large Print,1,,1,2020
Ballymena Central Library,Junior Non-fiction Spoken Word,6,9,15,2020
Ballymena Central Library,Language Course ,1,,1,2020
Ballymena Central Library,Music CD,,16,16,2020
Ballymena Central Library,Reading Development,64,43,107,2020
Ballymena Central Library,Reading Group,168,82,250,2020
Ballymena Central Library,Reference Non-borrowable,4,,4,2020
Ballymena Central Library,Teenage Fiction,397,291,688,2020
Ballymena Central Library,Teenage Non-fiction,32,71,103,2020
Ballymena Central Library,Uncategorised,2,2,4,2020
Ballymoney Library,Adult Fiction,11538,5355,16893,2020
Ballymoney Library,Adult Fiction Large Print,1104,249,1353,2020
Ballymoney Library,Adult Fiction Spoken Word,322,211,533,2020
Ballymoney Library,Adult Non-fiction,2483,2029,4512,2020
Ballymoney Library,Adult Non-fiction Large Print,20,2,22,2020
Ballymoney Library,Adult Non-fiction Spoken Word,23,32,55,2020
Ballymoney Library,Chatterbooks,11,5,16,2020
Ballymoney Library,Curriculum Support Collection,79,147,226,2020
Ballymoney Library,Junior Fiction,25243,6728,31971,2020
Ballymoney Library,Junior Fiction Large Print,21,18,39,2020
Ballymoney Library,Junior Fiction Spoken Word,90,32,122,2020
Ballymoney Library,Junior Language Pack,16,28,44,2020
Ballymoney Library,Junior Non-fiction,2825,951,3776,2020
Ballymoney Library,Junior Non-fiction Spoken Word,11,6,17,2020
Ballymoney Library,Reading Development,16,5,21,2020
Ballymoney Library,Reading Group,67,1,68,2020
Ballymoney Library,Reference Non-borrowable,20,25,45,2020
Ballymoney Library,Teenage Fiction,267,144,411,2020
Ballymoney Library,Teenage Non-fiction,62,73,135,2020
Ballymoney Library,Uncategorised,1,,1,2020
Ballynahinch Library,Adult Fiction,5311,2872,8183,2020
Ballynahinch Library,Adult Fiction Large Print,448,98,546,2020
Ballynahinch Library,Adult Fiction Spoken Word,524,458,982,2020
Ballynahinch Library,Adult Non-fiction,1244,1639,2883,2020
Ballynahinch Library,Adult Non-fiction Large Print,8,7,15,2020
Ballynahinch Library,Adult Non-fiction Spoken Word,5,11,16,2020
Ballynahinch Library,Adult Reference,1,2,3,2020
Ballynahinch Library,Chatterbooks,3,10,13,2020
Ballynahinch Library,Curriculum Support Collection,27,49,76,2020
Ballynahinch Library,DVD 15,,1,1,2020
Ballynahinch Library,Junior Fiction,14305,7936,22241,2020
Ballynahinch Library,Junior Fiction Large Print,3,6,9,2020
Ballynahinch Library,Junior Fiction Spoken Word,23,20,43,2020
Ballynahinch Library,Junior Language Pack,,8,8,2020
Ballynahinch Library,Junior Non-fiction,1860,1617,3477,2020
Ballynahinch Library,Junior Non-fiction Spoken Word,,1,1,2020
Ballynahinch Library,Music CD,,8,8,2020
Ballynahinch Library,Reading Development,30,31,61,2020
Ballynahinch Library,Reading Group,69,41,110,2020
Ballynahinch Library,Reference Non-borrowable,7,7,14,2020
Ballynahinch Library,Teenage Fiction,110,122,232,2020
Ballynahinch Library,Teenage Non-fiction,24,42,66,2020
Banbridge Library,Adult Fiction,10402,5127,15529,2020
Banbridge Library,Adult Fiction Large Print,587,157,744,2020
Banbridge Library,Adult Fiction Spoken Word,824,407,1231,2020
Banbridge Library,Adult Non-fiction,2632,2358,4990,2020
Banbridge Library,Adult Non-fiction Large Print,16,9,25,2020
Banbridge Library,Adult Non-fiction Spoken Word,26,39,65,2020
Banbridge Library,Adult Reference,1,1,2,2020
Banbridge Library,Chatterbooks,15,11,26,2020
Banbridge Library,Curriculum Support Collection,89,110,199,2020
Banbridge Library,Junior Fiction,27842,8829,36671,2020
Banbridge Library,Junior Fiction Large Print,,2,2,2020
Banbridge Library,Junior Fiction Spoken Word,67,41,108,2020
Banbridge Library,Junior Language Pack,35,49,84,2020
Banbridge Library,Junior Non-fiction,4179,1559,5738,2020
Banbridge Library,Junior Non-fiction Spoken Word,2,,2,2020
Banbridge Library,Junior Reference,1,,1,2020
Banbridge Library,Music CD,4,,4,2020
Banbridge Library,Reading Development,47,38,85,2020
Banbridge Library,Reading Group,133,70,203,2020
Banbridge Library,Reference Non-borrowable,21,7,28,2020
Banbridge Library,Teenage Fiction,349,303,652,2020
Banbridge Library,Teenage Non-fiction,67,39,106,2020
Banbridge Library,Uncategorised,2,2,4,2020
Bangor Carnegie Library,Adult Fiction,35721,14662,50383,2020
Bangor Carnegie Library,Adult Fiction Large Print,2012,694,2706,2020
Bangor Carnegie Library,Adult Fiction Spoken Word,2434,1157,3591,2020
Bangor Carnegie Library,Adult Non-fiction,8055,7998,16053,2020
Bangor Carnegie Library,Adult Non-fiction Large Print,126,49,175,2020
Bangor Carnegie Library,Adult Non-fiction Spoken Word,119,74,193,2020
Bangor Carnegie Library,Adult Reference,41,42,83,2020
Bangor Carnegie Library,Curriculum Support Collection,139,228,367,2020
Bangor Carnegie Library,DVD U,6,,6,2020
Bangor Carnegie Library,Junior Fiction,43830,11568,55398,2020
Bangor Carnegie Library,Junior Fiction Large Print,86,29,115,2020
Bangor Carnegie Library,Junior Fiction Spoken Word,390,152,542,2020
Bangor Carnegie Library,Junior Language Pack,127,121,248,2020
Bangor Carnegie Library,Junior Non-fiction,6714,2651,9365,2020
Bangor Carnegie Library,Junior Non-fiction Spoken Word,13,5,18,2020
Bangor Carnegie Library,Language Course ,2,,2,2020
Bangor Carnegie Library,Music CD,102,35,137,2020
Bangor Carnegie Library,Reading Development,88,50,138,2020
Bangor Carnegie Library,Reading Group,188,100,288,2020
Bangor Carnegie Library,Reference Non-borrowable,4,2,6,2020
Bangor Carnegie Library,Teenage Fiction,703,411,1114,2020
Bangor Carnegie Library,Teenage Non-fiction,112,85,197,2020
Bangor Carnegie Library,Uncategorised,15,10,25,2020
Belfast Central Library,Adult Fiction,14103,8312,22415,2020
Belfast Central Library,Adult Fiction Large Print,834,329,1163,2020
Belfast Central Library,Adult Fiction Spoken Word,1495,834,2329,2020
Belfast Central Library,Adult Non-fiction,13059,12861,25920,2020
Belfast Central Library,Adult Non-fiction Large Print,16,11,27,2020
Belfast Central Library,Adult Non-fiction Spoken Word,55,61,116,2020
Belfast Central Library,Adult Reference,1009,749,1758,2020
Belfast Central Library,Chatterbooks,25,2,27,2020
Belfast Central Library,Curriculum Support Collection,181,380,561,2020
Belfast Central Library,DVD 12,1,,1,2020
Belfast Central Library,DVD 15,5,,5,2020
Belfast Central Library,DVD 18,1,,1,2020
Belfast Central Library,DVD Exempt,11,4,15,2020
Belfast Central Library,DVD U,71,15,86,2020
Belfast Central Library,Junior Fiction,9478,5553,15031,2020
Belfast Central Library,Junior Fiction Large Print,7,6,13,2020
Belfast Central Library,Junior Fiction Spoken Word,71,29,100,2020
Belfast Central Library,Junior Language Pack,95,117,212,2020
Belfast Central Library,Junior Non-fiction,1144,1032,2176,2020
Belfast Central Library,Junior Non-fiction Spoken Word,4,,4,2020
Belfast Central Library,Language Course ,6,1,7,2020
Belfast Central Library,Music Cassette,2,1,3,2020
Belfast Central Library,Music CD,5609,686,6295,2020
Belfast Central Library,Reading Development,42,44,86,2020
Belfast Central Library,Reading Group,138,116,254,2020
Belfast Central Library,Reference Non-borrowable,35,27,62,2020
Belfast Central Library,Teenage Fiction,262,145,407,2020
Belfast Central Library,Teenage Non-fiction,43,86,129,2020
Belfast Central Library,Uncategorised,14,6,20,2020
Belfast Central Library,Video,1,1,2,2020
Bessbrook Library,Adult Fiction,4675,2851,7526,2020
Bessbrook Library,Adult Fiction Large Print,323,138,461,2020
Bessbrook Library,Adult Fiction Spoken Word,77,67,144,2020
Bessbrook Library,Adult Non-fiction,757,903,1660,2020
Bessbrook Library,Adult Non-fiction Spoken Word,1,2,3,2020
Bessbrook Library,Adult Reference,1,2,3,2020
Bessbrook Library,Curriculum Support Collection,40,56,96,2020
Bessbrook Library,Junior Fiction,11175,3902,15077,2020
Bessbrook Library,Junior Fiction Large Print,5,5,10,2020
Bessbrook Library,Junior Fiction Spoken Word,7,8,15,2020
Bessbrook Library,Junior Non-fiction,1514,682,2196,2020
Bessbrook Library,Junior Non-fiction Spoken Word,1,,1,2020
Bessbrook Library,Reading Development,41,52,93,2020
Bessbrook Library,Reading Group,18,19,37,2020
Bessbrook Library,Teenage Fiction,151,76,227,2020
Bessbrook Library,Teenage Non-fiction,20,10,30,2020
Broughshane Library,Adult Fiction,3340,1437,4777,2020
Broughshane Library,Adult Fiction Large Print,877,110,987,2020
Broughshane Library,Adult Fiction Spoken Word,136,66,202,2020
Broughshane Library,Adult Non-fiction,882,653,1535,2020
Broughshane Library,Adult Non-fiction Large Print,5,,5,2020
Broughshane Library,Adult Non-fiction Spoken Word,5,3,8,2020
Broughshane Library,Adult Reference,,1,1,2020
Broughshane Library,Chatterbooks,3,1,4,2020
Broughshane Library,Curriculum Support Collection,15,12,27,2020
Broughshane Library,Junior Fiction,6989,1779,8768,2020
Broughshane Library,Junior Fiction Large Print,3,,3,2020
Broughshane Library,Junior Fiction Spoken Word,4,2,6,2020
Broughshane Library,Junior Language Pack,9,24,33,2020
Broughshane Library,Junior Non-fiction,808,211,1019,2020
Broughshane Library,Reading Development,23,4,27,2020
Broughshane Library,Reading Group,69,8,77,2020
Broughshane Library,Reference Non-borrowable,,2,2,2020
Broughshane Library,Teenage Fiction,47,11,58,2020
Broughshane Library,Teenage Non-fiction,22,12,34,2020
Broughshane Library,Uncategorised,,1,1,2020
Brownlow Library,Adult Fiction,5277,2616,7893,2020
Brownlow Library,Adult Fiction Large Print,555,71,626,2020
Brownlow Library,Adult Fiction Spoken Word,365,161,526,2020
Brownlow Library,Adult Non-fiction,1367,1487,2854,2020
Brownlow Library,Adult Non-fiction Large Print,8,1,9,2020
Brownlow Library,Adult Non-fiction Spoken Word,28,32,60,2020
Brownlow Library,Adult Reference,3,,3,2020
Brownlow Library,Chatterbooks,11,2,13,2020
Brownlow Library,Curriculum Support Collection,117,106,223,2020
Brownlow Library,Junior Fiction,15491,4195,19686,2020
Brownlow Library,Junior Fiction Large Print,18,8,26,2020
Brownlow Library,Junior Fiction Spoken Word,22,6,28,2020
Brownlow Library,Junior Language Pack,4,12,16,2020
Brownlow Library,Junior Non-fiction,2098,997,3095,2020
Brownlow Library,Junior Non-fiction Large Print,2,,2,2020
Brownlow Library,Junior Non-fiction Spoken Word,4,,4,2020
Brownlow Library,Language Course ,2,,2,2020
Brownlow Library,Reading Development,14,9,23,2020
Brownlow Library,Reading Group,114,75,189,2020
Brownlow Library,Reference Non-borrowable,5,2,7,2020
Brownlow Library,Teenage Fiction,149,107,256,2020
Brownlow Library,Teenage Non-fiction,43,17,60,2020
Brownlow Library,Uncategorised,3,1,4,2020
Carnlough Library,Adult Fiction,2794,1526,4320,2020
Carnlough Library,Adult Fiction Large Print,279,104,383,2020
Carnlough Library,Adult Fiction Spoken Word,92,68,160,2020
Carnlough Library,Adult Non-fiction,901,797,1698,2020
Carnlough Library,Adult Non-fiction Large Print,4,3,7,2020
Carnlough Library,Adult Non-fiction Spoken Word,5,8,13,2020
Carnlough Library,Adult Reference,,6,6,2020
Carnlough Library,Chatterbooks,3,,3,2020
Carnlough Library,Curriculum Support Collection,8,6,14,2020
Carnlough Library,Junior Fiction,5789,2977,8766,2020
Carnlough Library,Junior Fiction Large Print,5,,5,2020
Carnlough Library,Junior Fiction Spoken Word,13,14,27,2020
Carnlough Library,Junior Language Pack,3,22,25,2020
Carnlough Library,Junior Non-fiction,927,984,1911,2020
Carnlough Library,Junior Non-fiction Spoken Word,5,5,10,2020
Carnlough Library,Music CD,1,,1,2020
Carnlough Library,Reading Development,21,20,41,2020
Carnlough Library,Reading Group,148,104,252,2020
Carnlough Library,Teenage Fiction,31,20,51,2020
Carnlough Library,Teenage Non-fiction,18,7,25,2020
Carnlough Library,Uncategorised,,1,1,2020
Carrickfergus Library,Adult Fiction,21279,8605,29884,2020
Carrickfergus Library,Adult Fiction Large Print,1940,313,2253,2020
Carrickfergus Library,Adult Fiction Spoken Word,800,377,1177,2020
Carrickfergus Library,Adult Non-fiction,6205,5059,11264,2020
Carrickfergus Library,Adult Non-fiction Large Print,50,22,72,2020
Carrickfergus Library,Adult Non-fiction Spoken Word,83,59,142,2020
Carrickfergus Library,Adult Reference,1,5,6,2020
Carrickfergus Library,Chatterbooks,11,4,15,2020
Carrickfergus Library,Curriculum Support Collection,172,167,339,2020
Carrickfergus Library,DVD U,1,1,2,2020
Carrickfergus Library,Junior Fiction,25056,7629,32685,2020
Carrickfergus Library,Junior Fiction Large Print,19,16,35,2020
Carrickfergus Library,Junior Fiction Spoken Word,85,55,140,2020
Carrickfergus Library,Junior Language Pack,59,64,123,2020
Carrickfergus Library,Junior Non-fiction,3615,1558,5173,2020
Carrickfergus Library,Junior Non-fiction Spoken Word,9,4,13,2020
Carrickfergus Library,Junior Reference,7,1,8,2020
Carrickfergus Library,Music Cassette,,1,1,2020
Carrickfergus Library,Music CD,,15,15,2020
Carrickfergus Library,Reading Development,36,17,53,2020
Carrickfergus Library,Reading Group,373,149,522,2020
Carrickfergus Library,Reference Non-borrowable,3,,3,2020
Carrickfergus Library,Teenage Fiction,444,236,680,2020
Carrickfergus Library,Teenage Non-fiction,65,30,95,2020
Carrickfergus Library,Uncategorised,3,3,6,2020
Carryduff Library,Adult Fiction,4794,2228,7022,2020
Carryduff Library,Adult Fiction Large Print,100,56,156,2020
Carryduff Library,Adult Fiction Spoken Word,176,90,266,2020
Carryduff Library,Adult Non-fiction,1141,874,2015,2020
Carryduff Library,Adult Non-fiction Large Print,3,4,7,2020
Carryduff Library,Adult Non-fiction Spoken Word,4,3,7,2020
Carryduff Library,Adult Reference,6,,6,2020
Carryduff Library,Curriculum Support Collection,24,10,34,2020
Carryduff Library,DVD 12,1,,1,2020
Carryduff Library,DVD U,1,,1,2020
Carryduff Library,Junior Fiction,13545,3674,17219,2020
Carryduff Library,Junior Fiction Large Print,5,,5,2020
Carryduff Library,Junior Fiction Spoken Word,15,4,19,2020
Carryduff Library,Junior Language Pack,1,,1,2020
Carryduff Library,Junior Non-fiction,1446,493,1939,2020
Carryduff Library,Junior Non-fiction Spoken Word,3,1,4,2020
Carryduff Library,Reading Development,9,17,26,2020
Carryduff Library,Reading Group,194,22,216,2020
Carryduff Library,Reference Non-borrowable,3,,3,2020
Carryduff Library,Teenage Fiction,52,55,107,2020
Carryduff Library,Teenage Non-fiction,10,9,19,2020
Castlederg Library,Adult Fiction,2809,1600,4409,2020
Castlederg Library,Adult Fiction Large Print,573,56,629,2020
Castlederg Library,Adult Fiction Spoken Word,82,43,125,2020
Castlederg Library,Adult Non-fiction,664,476,1140,2020
Castlederg Library,Adult Non-fiction Large Print,1,1,2,2020
Castlederg Library,Adult Non-fiction Spoken Word,5,,5,2020
Castlederg Library,Adult Reference,3,,3,2020
Castlederg Library,Curriculum Support Collection,21,7,28,2020
Castlederg Library,Junior Fiction,10659,3666,14325,2020
Castlederg Library,Junior Fiction Large Print,12,10,22,2020
Castlederg Library,Junior Fiction Spoken Word,18,21,39,2020
Castlederg Library,Junior Language Pack,1,2,3,2020
Castlederg Library,Junior Non-fiction,1409,829,2238,2020
Castlederg Library,Junior Non-fiction Spoken Word,1,,1,2020
Castlederg Library,Junior Reference,,1,1,2020
Castlederg Library,Reading Development,5,8,13,2020
Castlederg Library,Reading Group,15,8,23,2020
Castlederg Library,Teenage Fiction,92,30,122,2020
Castlederg Library,Teenage Non-fiction,18,13,31,2020
Castlederg Library,Uncategorised,4,,4,2020
Castlewellan Library,Adult Fiction,3246,1767,5013,2020
Castlewellan Library,Adult Fiction Large Print,522,123,645,2020
Castlewellan Library,Adult Fiction Spoken Word,158,147,305,2020
Castlewellan Library,Adult Non-fiction,805,570,1375,2020
Castlewellan Library,Adult Non-fiction Large Print,,2,2,2020
Castlewellan Library,Adult Non-fiction Spoken Word,4,4,8,2020
Castlewellan Library,Adult Reference,10,,10,2020
Castlewellan Library,Chatterbooks,1,1,2,2020
Castlewellan Library,Curriculum Support Collection,29,47,76,2020
Castlewellan Library,Junior Fiction,9431,4367,13798,2020
Castlewellan Library,Junior Fiction Large Print,10,13,23,2020
Castlewellan Library,Junior Fiction Spoken Word,17,25,42,2020
Castlewellan Library,Junior Language Pack,1,12,13,2020
Castlewellan Library,Junior Non-fiction,1544,787,2331,2020
Castlewellan Library,Junior Non-fiction Spoken Word,1,,1,2020
Castlewellan Library,Reading Development,48,15,63,2020
Castlewellan Library,Reading Group,119,77,196,2020
Castlewellan Library,Reference Non-borrowable,1,,1,2020
Castlewellan Library,Teenage Fiction,164,131,295,2020
Castlewellan Library,Teenage Non-fiction,15,15,30,2020
Castlewellan Library,Uncategorised,1,3,4,2020
Chichester Library,Adult Fiction,8498,4847,13345,2020
Chichester Library,Adult Fiction Large Print,1022,413,1435,2020
Chichester Library,Adult Fiction Spoken Word,509,142,651,2020
Chichester Library,Adult Non-fiction,2082,2513,4595,2020
Chichester Library,Adult Non-fiction Large Print,15,11,26,2020
Chichester Library,Adult Non-fiction Spoken Word,26,8,34,2020
Chichester Library,Adult Reference,7,11,18,2020
Chichester Library,Chatterbooks,14,3,17,2020
Chichester Library,Curriculum Support Collection,82,179,261,2020
Chichester Library,DVD 12,2,,2,2020
Chichester Library,DVD 18,2,,2,2020
Chichester Library,DVD Exempt,1,,1,2020
Chichester Library,DVD PG,4,,4,2020
Chichester Library,DVD U,15,,15,2020
Chichester Library,Junior Fiction,12672,4358,17030,2020
Chichester Library,Junior Fiction Large Print,14,2,16,2020
Chichester Library,Junior Fiction Spoken Word,29,15,44,2020
Chichester Library,Junior Language Pack,18,56,74,2020
Chichester Library,Junior Non-fiction,1518,724,2242,2020
