BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
10053055,Monograph,Language material ; Text,Volume,GB8341962,,9780333348918,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Macmillan students' novels,,England,London,Macmillan,1983,,"xxviii, 307 pages, 8 pages of plates, illustrations, 2 facsimiles, portraits, 18 cm",823.8,X.958/18232,Fiction in English--1837-1900--Texts,,English,,
10053887,Monograph,Language material ; Text,Volume,GB8507431,,9780333372869,"Spear, Hilda D. (Hilda Doris)",1926-,person,,"Spear, Hilda D. (Hilda Doris), 1926- [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights by Emily Brontë,Wuthering Heights,Macmillan master guides,,England,London,Macmillan,1985,,"80 pages, 22 cm",823.8,X.950/42297,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,bibliography: p79-80. _ Includes index,
10054329,Monograph,Language material ; Text,Volume,GB8938324,,9780333385166 ; 9780333385173,"Miles, Peter",1949-,person,,"Miles, Peter, 1949- [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering heights,Wuthering Heights,The Critics debate,,England,Basingstoke,Macmillan,1990,,"96 pages, 22 cm",823.8,90/20551 ; YC.1990.a.8102,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,Includes index,
10055724,Monograph,Language material ; Text,Volume,GB8835811,,9780333421970 ; 9780333421987,"Winnifrith, Tom",1938-,person,,"Chitham, Edward [person] ; Winnifrith, Tom, 1938- [person]",Charlotte and Emily Brontë : literary lives,,Macmillan literary lives,,England,Basingstoke,Macmillan,1989,,"vi, 144 pages, 22 cm",823.8,YC.1989.a.4198,"Fiction in English--Brontë, Charlotte--1816-1855--& Brontë, Emily--1818-1848 ; Brontë, Charlotte, 1816-1855 ; Brontë, Emily, 1818-1848",,English,bibliography: p139-140. _ Includes index,
10056760,Monograph,Language material ; Text,Volume,GB8918941,,9780333446041 ; 9780333446058,"Pykett, Lyn",1947-,person,,"Pykett, Lyn, 1947- [person]",Emily Brontë,,Women writers,,England,Basingstoke,Macmillan,1989,,"viii, 150 pages, 19 cm",821.8 ; 823.8,YH.1990.a.149,"Poetry in English--Brontë, Emily--1818-1848 ; Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,,
10060442,Monograph,Language material ; Text,Volume,GB9366406,,9780333545942 ; 9780333545959,,,,,"Stoneman, Patsy, 1940- [person]",Wuthering Heights,,,,England,Basingstoke,Macmillan,1993,,ix 222 pages,823.8,94/27129 ; YK.1994.a.2355,"English fiction ; Brontë, Emily, 1818-1848",,English,,
10061545,Monograph,Language material ; Text,Volume,GB9222944,,9780312035471 ; 9780312065232 ; 9780333575581,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person] ; Peterson, Linda H., editor [person]","Wuthering Heights : complete, authoritative text with biographical and historical contexts, critical history, and essays from five contemporary critical perspectives",,Case studies in contemporary criticism,,England,Basingstoke ; Boston,Bedford Books of St. Martin's Press ; Macmillan,1992,,"xii, 467 pages, illustrations, 21 cm",823.8,YK.1992.a.4782,"English fiction ; Yorkshire (England)--Fiction ; Rejection (Psychology)--Fiction ; Triangles (Interpersonal relations)--Fiction ; Brontë, Emily, 1818-1848",Domestic fiction ; Fiction ; Romance fiction,English,,
10061750,Monograph,Language material ; Text,Volume,GB9238542,,9780333580554,"Handley, Graham",1926-,person,,"Handley, Graham, 1926- [person] ; Brontë, Emily, 1818-1848 [person]",Brodie's notes on Emily Brontë's Wuthering Heights,Wuthering Heights,,,England,Basingstoke,Macmillan,1992,Revised edition,"127 pages, 20 cm",823.8,YK.1992.a.8603,"English fiction ; Brontë, Emily, 1818-1848",,English,"Originally published: London : Pan, 1990. - Previous edition: London : Pan, 1986",
10074289,Monograph,Language material ; Text,Volume,GB9151274,,9780573114748,"Vance, Charles",1929-,person,author,"Brontë, Emily, 1818-1848 [person] ; Vance, Charles, 1929-, author [person]",Emily Brontë's Wuthering Heights,Wuthering Heights,,,England,London,French,1990,,"59 pages, plan, 21 cm",822.914,YK.1992.a.8062,Country life--Drama ; English drama ; Yorkshire (England)--Drama,Drama,English,,
10080138,Monograph,Language material ; Text,Volume,GB8844768,,9780582006546,,,,,"Cookson, Linda [person] ; Loughrey, Bryan [person]",Critical essays on Wuthering Heights,,Longman literature guides,,England,Harlow,Longman,1988,,"127 pages, 21 cm",823.8,YC.1989.a.4428,"Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Emily, 1818-1848",,English,,
10080346,Monograph,Language material ; Text,Volume,GB8907779,,9780582018228,"Turvey, Celia",,person,author,"Turvey, Celia, author [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Longman classics. Stage 4,,England,Harlow,Longman,1989,,"6, 74 pages, colour illustrations, 19 cm",428.6,YK.1989.a.5712,Readers--1950- ; English language--Texts,,English,,
