BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
13491727,Monograph,Language material ; Text,Volume,GBA677424,,,"Barker, Juliet R. V.",,person,author,"Barker, Juliet R. V., author [person]",The Brontës : a life in letters,,,,England,London,Folio Society,2006,,"xxxii, 442 pages, 16 pages of plates, illustrations, portraits, 25 cm",826.808,YK.2006.a.15046,"Women authors, English--19th century--Correspondence ; Authors, English--19th century--Correspondence ; Brontë family--Correspondence ; Brontë, Patrick Branwell, 1817-1848--Correspondence ; Brontë, Anne, 1820-1849--Correspondence ; Yorkshire (England)--Biography ; Brontë, Emily, 1818-1848--Correspondence ; Brontë, Charlotte, 1816-1855--Correspondence",Biography ; Correspondence,English,"In slip case ; Includes index ; Originally published: Penguin, 1997",
13507430,Monograph,Language material ; Text,Volume,GBA660477,,9780199298181,"Gezari, Janet",,person,author,"Gezari, Janet, author [person]",Last things : Emily Brontë's poems,,,,England,Oxford,Oxford University Press,2007,,"183 pages, illustrations, 23 cm",821.8,YC.2008.a.3187 ; m07/.16874,"English poetry--19th century--Criticism and interpretation ; Brontë, Emily, 1818-1848--Criticism and interpretation",,English,,
13523048,Monograph,Language material ; Text,Volume,GBA667192,,9780747587507,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Bloomsbury classics,,England,London,Bloomsbury,2006,,"viii, 325 pages, 20 cm",823.8,H.2008/2494,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Yorkshire (England)--Social life and customs--Fiction",Fiction ; Young adult fiction,English,,
13542805,Monograph,Language material ; Text,Volume,,,9780873529921 ; 9780873529938,,,,,"Hasseler, Terri A., 1964-, editor [person] ; Lonoff de Cuevas, Sue, editor [person]",Approaches to teaching Emily Brontë's Wuthering Heights,,Approaches to teaching world literature,,United States of America,New York,Modern Language Association of America,2006,,"vii, 195 pages, illustrations, 23 cm",823.8,1580.56,"Brontë, Emily, 1818-1848--Study and teaching",,English,,
13565163,Monograph,Language material ; Text,Volume,GBA691748,,,"Brontë, Emily",1818-1848,person,author,"Forster, Peter, 1934-, illustrator [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,Folio Society,2006,,"278 pages, illustrations, 23 cm",823.8,YC.2006.a.19247,,,English,In slip case,
13620124,Monograph,Language material ; Text,Volume,GBA862618,,9780199184804,"Isherwood, Shirley",,person,author,"Isherwood, Shirley, author [person] ; Matysiak, Zhenya, illustrator [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,"Treetops classics. Stage 16, pack A",,England,Oxford,Oxford University Press,2006,,"104 pages, illustrations, 22 cm",428.6,YK.2008.a.8153,Readers (Elementary),,English,Originally published: 2000,
13657990,Monograph,Language material ; Text,Volume,GBB016083,,9780946657254,"Strickson, Adam",,person,,"Bradford (West Yorkshire, England), Department of Arts, Heritage and Leisure [organisation] ; Strickson, Adam [person] ; Brontë, Emily, 1818-1848 [person] ; Siku [person]",Wuthering Heights : the graphic novel,Wuthering Heights,,,England,Bradford,"Dept. of Arts Heritage & Leisure, Bradford MDC",2006,,"1 volume (unpaged), chiefly illustrations, 30 cm",741.5,YK.2010.b.5629,,Novel ; Young adult fiction,English,,
13661422,Monograph,Language material ; Text,Volume,GBA710608,,9781847490025,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,Oxford,Oneworld Classics,2007,,"322, 8 pages of plates, illustrations, 20 cm",823.8,H.2009/3547,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Yorkshire (England)--Social life and customs--Fiction ; Rejection (Psychology)--Fiction ; Rural families--Fiction ; Triangles (Interpersonal relations)--Fiction",Fiction,English,,
13668439,Monograph,Language material ; Text,Volume,GBA717708,,9781903490259,"Fermi, Sarah",,person,author,"Fermi, Sarah, author [person]","Emily's journal : with annotations by her sisters, Charlotte and Anne Brontë : edited by Charlotte Brontë",,,,England,Cambridge,Pegasus,2006,,"xxi, 236 pages, illustrations, 1 map, 20 cm",823.92,YC.2007.a.3974,"Brontë, Emily, 1818-1848",,English,,
13734728,Monograph,Language material ; Text,Volume,GBA731956,,,"Brontë, Emily",1818-1848,person,,"Forster, Peter, 1934- [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,,,England,London,Folio Society,2006,,"278 pages, illustrations, 23 cm",,,,,English,,
13736558,Monograph,Language material ; Text,Volume,GBA733642,,9781861711793,"Brontë, Emily",1818-1848,person,,"Page, Teresa [person] ; Brontë, Emily, 1818-1848 [person]",Darkness and glory : selected poems,,British poets series,,England,Maidstone,Crescent Moon,2007,2nd edition,"1 volume, 24 cm",821.8,,,,English,"Previous edition: s.l.: s.n, 1996",
13746897,Monograph,Language material ; Text,Volume,GBA737734,,9780230035256 ; 9781405077088 ; 9781405077095,"Cornish, F. H.",,person,author,"Cornish, F. H., author [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Macmillan readers. Intermediate level,,England,Oxford,Macmillan,2007,,"103 pages, illustrations, 20 cm + 3 audio CDs",428.64,EMC.2013.a.444,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Yorkshire (England)--Social life and customs--Fiction",Fiction ; Reader,English,,
13752333,Monograph,Language material ; Text,Volume,GBA739877,,9780521832892,"Thormählen, Marianne",1949-,person,author,"Thormählen, Marianne, 1949-, author [person]",The Brontës and education,,,,England,Cambridge,Cambridge University Press,2007,,"xii, 304 pages, 24 cm",823.8093557,YC.2007.a.13851 ; m07/.26230,"Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; English fiction--19th century--History and criticism ; Educational equalization--Great Britain--History--19th century ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Education in literature",,English,,
13808496,Monograph,Language material ; Text,Volume,GBA780926,,9780860671602,"Ward, Mark E.",,person,author,"Swindells, Robert E., 1939-, author [person] ; Ward, Mark E., author [person] ; Dinsdale, Ann, author [person]",A guide to historic Haworth and the Brontës,,,,England,Nelson,Hendon Pub,2007,,"73 pages, illustrations, maps, 22 cm",914.28170486,YK.2008.a.11679,"Walking--England--Haworth--Guidebooks ; Haworth (England)--Guidebooks ; Brontë, Anne, 1820-1849--Homes and haunts--England--Haworth ; Haworth (England)--History ; Brontë, Charlotte, 1816-1855--Homes and haunts--England--Haworth ; Brontë, Emily, 1818-1848--Homes and haunts--England--Haworth",Guidebook,English,,
13829262,Monograph,Language material ; Text,Volume,GBA769035,,9780826486721 ; 9780826486738,"White, Kathryn, Museum curator",,person,,"White, Kathryn, Museum curator [person]","The bedside, bathtub & armchair companion to the Brontës",,,,England,London,Continuum,2007,,"1 volume, illustrations, 24 cm",823.809,,"Authors, English--19th century--Biography ; Brontë, Anne, 1820-1849 ; English literature--19th century--History and criticism ; Women and literature--England--History--19th century ; Yorkshire (England)--History--19th century ; Women--England--Social conditions--19th century ; Women authors, English--19th century--Biography ; Yorkshire (England)--In literature ; Brontë, Charlotte, 1816-1855 ; Brontë, Emily, 1818-1848",Biography,English,,
13865304,Monograph,Language material ; Text,Volume,,,9780838313459,"Moore, Virginia",1903-1993,person,author,"Moore, Virginia, 1903-1993, author [person]",The life and eager death of Emily Brontë : a biography,,,,United States of America,New York,Haskell House,1971,,"xii, 383 pages, illustrations, 23 cm",823.8,W55/9118,"Authors, English--19th century--Biography ; Women and literature--England--History--19th century ; Brontë, Emily, 1818-1848",,English,reprinted of the 1936 edition,
13866133,Monograph,Language material ; Text,Volume,,,9780838315279,"Wilson, Romer",1891-1930,person,author,"Wilson, Romer, 1891-1930, author [person]",The life and private history of Emily Jane Brontë,,,,United States of America,New York,Haskell House,1972,,"xii, 292 pages, illustrations, 23 cm",823.8,74/6501,"Authors, English--19th century--Biography ; Brontë, Emily, 1818-1848",,English,"Originally published: New York : A. and C. Boni, 1928",
13879720,Monograph,Language material ; Text,Volume,,,,,,,,"Vogler, Thomas A., editor [person]",Twentieth century interpretations of Wuthering Heights : a collection of critical essays,,A Spectrum book ; Twentieth century interpretations,,United States of America,"Englewood Cliffs, New Jersey",Prentice Hall,1968,,"vi, 122 pages, 21 cm",823.8,74/25135 ; W49/8781 ; X.909/19012,"Brontë, Emily, 1818-1848",,English,,
13985152,Monograph,Language material ; Text,Volume,,,,,,,,"Sanger, Charles Percy, 1871-1930 [person] ; Willis, Irene Cooper [person]",The authorship of Wuthering Heights,Authorship of Wuthering Heights ; Structure of Wuthering Heights,,,England,London,Dawsons of Pall Mall,1967,,"94 pages, 23 pages, 20 cm",,L70/2469,"Brontë, Patrick Branwell, 1817-1848 ; Brontë, Emily, 1818-1848",,English,"First published seperately : London, Hogarth Press, 1936 & 1926",
14100259,Monograph,Language material ; Text,Volume,GBA783611,,9780099511595,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Vintage classics,,England,London,Vintage,2008,,"357 pages, 20 cm",823.8,H.2008/2130,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Foundlings--Fiction ; Yorkshire (England)--Social life and customs--Fiction ; Rejection (Psychology)--Fiction ; Triangles (Interpersonal relations)--Fiction",Fiction,English,,
14200199,Monograph,Language material ; Text,Volume,GBA786602,,9780826493453 ; 9780826493460,"Fegan, Melissa",,person,author,"Fegan, Melissa, author [person]",Wuthering heights : character studies,,Continuum character studies,,England,London,Continuum,2008,,"xi, 130 pages, 23 cm",823.8,YC.2008.a.10287,"Brontë, Emily, 1818-1848--Characters",,English,,
14241838,Monograph,Language material ; Text,Volume,,,9780838320723,"Willis, Irene Cooper",,person,author,"Willis, Irene Cooper, author [person]",The authorship of Wuthering heights,,,,United States of America,New York,Haskell House,1975,,"94 pages, 21 cm",823.8,76/42004,"Brontë, Patrick Branwell, 1817-1848--Authorship ; Brontë, Emily, 1818-1848",,English,"reprinted of the 1936 edition published by L. and V. Woolf at the Hogarth Press, London",
14341446,Monograph,Language material ; Text,Volume,GBA792714,,9780321212986,"Brontë, Emily",1818-1848,person,,"Booth, Alison [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,A Longman cultural edition,,England,Harlow,Longman,2008,,"1 volume, 20 cm",823.8,,Heathcliff (Fictitious character : Brontë)--Fiction ; Yorkshire (England)--Social life and customs--Fiction,Fiction,English,,
14465332,Monograph,Language material ; Text,Volume,GBB208494,,9780901291882,"Dobson, Helen",,person,author,"National Association for the Teaching of English [organisation] ; Dobson, Helen, author [person]","An angel in the house : three Victorian poets : Emily Brontë, Elizabeth Barrett Browning, Christina Rossetti",,NATE classic reading,,England,Sheffield,National Association for the Teaching of English,2002,,"44 pages, illustrations, portraits, 30 cm",821.8099287,YK.2012.b.1559,"Browning, Elizabeth Barrett, 1806-1861--Criticism and interpretation ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Rossetti, Christina Georgina, 1830-1894--Criticism and interpretation",,English,,
14467246,Monograph,Language material ; Text,Volume,,,9783893233670,"Hartmann, Eva-Maria",,person,author,"Hartmann, Eva-Maria, author [person]",Diskursive Strukturen in Filmadaptionen dramatischer und narrativer Texte : eine paradigmatische Analyse ausgewählter Verfilmungen von William Shakespeares Romeo and Juliet und Emily Brontës Wuthering Heights,,Film und Medien in der Diskussion,Band 15 [Film und Medien in der Diskussion],Germany,Münster,Nodus,2007,,"294 pages, 21 cm",,YF.2008.a.6481,"Shakespeare, William, 1564-1616 ; Brontë, Emily, 1818-1848--Film and video adaptations ; Shakespeare, William, 1564-1616--Film and video adaptations",Motion picture,German,,
14487275,Monograph,Language material ; Text,Volume,GBA804053,,9780199535606,"Brontë, Emily",1818-1848,person,,"Jack, Ian, 1923-2008 [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Oxford world's classics,,England,Oxford,Oxford University Press,2008,,"1 volume, 20 cm",823.8,,Yorkshire (England)--Social life and customs--Fiction,Fiction,English,,
14519659,Monograph,Language material ; Text,Volume,GBA817968,,9780754657521,,,,,"Hagan, Sandra, 1964-, editor [person] ; Wells, Juliette, 1977-, editor [person]",The Brontës in the world of the arts,,The nineteenth century series,,England,Aldershot,Ashgate,2008,,"xii, 256 pages, illustrations, 24 cm",823.8,YC.2009.a.813 ; m09/.23979,"Brontë, Charlotte, 1816-1855--Knowledge--Art ; Women and literature--England--History--19th century ; Authors as artists--England ; Brontë, Anne, 1820-1849--Knowledge--Art ; Brontë family ; Brontë, Emily, 1818-1848--Knowledge--Art",,English,,
14533862,Monograph,Language material ; Text,Volume,GBA874730,,9780194792349,"West, Clare",,person,author,"West, Clare, author [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Oxford bookworms. Stage 5,,England,Oxford,Oxford University Press,2008,,"104 pages, illustrations, 20 cm",428.6,YK.2008.a.10014,,,English,Simplified edition,
14537856,Monograph,Language material ; Text,Volume,GBA826028,,9781906229566,"Dale, Sue",,person,,"Dale, Sue [person]",Brontë sisters gift pack,,,,England,Swindon,Green Umbrella,2008,,"1 volume, illustrations, 32 cm",823.809,,"Brontë, Anne, 1820-1849 ; Novelists, English--19th century--Biography ; Women novelists, English--19th century--Biography ; Yorkshire (England)--In literature ; Brontë, Charlotte, 1816-1855 ; Brontë, Emily, 1818-1848",Biography,English,Includes DVD,
14557811,Monograph,Language material ; Text,Volume,,,9781846711442,"Brontë, Emily",1818-1848,person,,"Reston, Sandra [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering heights,,,,United Kingdom,,Bishopston ; Classroom Resources,2007,Abridged edition,,,,,,English,Spiral bound,
14561910,Monograph,Language material ; Text,Volume,GBB167748,,9781906075101,"Simpson, Matt",,person,author,"Simpson, Matt, author [person]","Focus on Wuthering Heights, by Emily Brontë",,Focus on,,England,London,Greenwich Exchange,2007,,"xv, 33 pages, 21 cm",823.8,YC.2011.a.7868,"Brontë, Emily, 1818-1848--Criticism and interpretation",,English,,
14567620,Monograph,Language material ; Text,Volume,GBA848759,,9781411403567,,,,,,"Wuthering Heights, Emily Brontë",,Sparknotes literature guides,,England ; United States of America,Lewes ; New York,SparkNotes,2008,,"1 volume, 21 cm",823.8,,"Brontë, Emily, 1818-1848",,English,,
14576105,Monograph,Language material ; Text,Volume,GBA852610,,9781906229597,"Wollaston, Emily",,person,author,"Wollaston, Emily, author [person]",Little book of the Brontë sisters,Brontë sisters,,,England,Swindon,Green Umbrella,2008,,"95 pages, illustrations (chiefly colour), portraits (some colour), 16 cm",823.809,YK.2010.a.2744,"Women novelists, English--19th century--Biography ; Novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855 ; Brontë, Emily, 1818-1848",Biography,English,,
14577662,Monograph,Notated music,Volume,,,,"Herrmann, Bernard",1911-1975,person,,"Carner, Mosco [person] ; Fletcher, Lucille [person] ; Brontë, Emily, 1818-1848 [person] ; Herrmann, Bernard, 1911-1975 [person]",Wuthering Heights : opera in four acts and a prologue,Wuthering Heights ; Wuthering Heights. Vocal score,,,England,London,Novello,1965,,"1 score (2 volumes), 30 cm",782.1,H06/8863 ; H06/8864,Operas--Vocal scores with piano,Vocal score,English ; German,Preliminary notes in English and German,
14580457,Monograph,Language material ; Text,Volume,GBB018345,,9781840220759,,,,,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]",The Brontë sisters,Agnes Grey ; Collected novels of the Brontë sisters ; Jane Eyre ; Professor ; Tenant of Wildfell Hall ; Villette ; Wuthering Heights,Wordsworth library collection,,England,Ware,Wordsworth,2008,,"1488 pages, 24 cm",823.808,Nov.2009/1809,English fiction--19th century,,English,,
14581798,Monograph,Language material ; Text,Volume,,,9781904633037 ; 9781904633044 ; 9781905716036 ; 9781905716371,"Brontë, Anne",1820-1849,person,,"Brontë, Charlotte, 1816-1855 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Anne, 1820-1849 [person]",Bronte sisters,,Collector's library cases,,United Kingdom,Cirencester,,2008,Unabridged,"3 hardbacks (1680 pages), 15 x 9 cm",,,,,English,3 hardback ; In box,
14595388,Monograph,Language material ; Text,Volume,GBA858646,,9780199536665,"Ingham, Patricia",,person,,"Ingham, Patricia [person]",The Brontës,,Authors in context ; Oxford world's classics,,England,Oxford,Oxford University Press,2008,,"xix, 273 pages, illustrations, portraits, 20 cm",823.809,,"Brontë, Emily, 1818-1848--Criticism and interpretation ; Women novelists, English--19th century ; English fiction--19th century--History and criticism ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation",,English,Includes index ; Originally published: 2006,
14595424,Monograph,Language material ; Text,Volume,GBA858681,,9780199543298,"Gezari, Janet",,person,,"Gezari, Janet [person]",Last things : Emily Brontë's poems,,,,England,Oxford,Oxford University Press,2008,,"1 volume, illustrations, 22 cm",821.8,,"Brontë, Emily, 1818-1848--Criticism and interpretation",,English,Originally published: 2007,
14604354,Monograph,Language material ; Text,Volume,GBB268449,,9781405865210,"Attwood, E. M. (Evelyn May)",1906-,person,author,"Attwood, E. M. (Evelyn May), 1906-, author [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Penguin readers. Level 5,,England,Harlow,Pearson,2008,,"ix, 161 pages, 20 cm",428.6,YK.2012.a.19479,,Reader,English,"'2300 headwords upper-intermediate'--Back cover ; 'British English'--Back cover ; Originally published: London : Longmans, Green & Co, 1956?",
14627239,Monograph,Language material ; Text,Volume,GBA871171,,9781405896191,"Eddy, Steve",,person,author,"Eddy, Steve, author [person]",The Brontës : selected poems : notes,,York notes advanced,,England,Harlow,Longman,2008,,"134 pages, 21 cm",821.809,YK.2009.a.29334,"Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Patrick Branwell, 1817-1848--Criticism and interpretation ; English poetry--19th century--History and criticism ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation",,English,,
14636641,Monograph,Language material ; Text,Volume,GBA877252,,9780195455618,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Wuthering heights,,Oxford progressive English readers. Level 5,,England,Oxford,Oxford University Press,2007,2nd edition,"vii, 124 pages, illustrations, 20 cm",,YKL.2022.a.30652,"Readers ; English language--Textbooks ; Brontë, Emily, 1818-1848",Textbook,English,Originally published: 1992,
14758757,Monograph,Language material ; Text,Volume,,,9782070114955,"Brontë, Charlotte",1816-1855,person,,"Brontë, Anne, 1820-1849 [person] ; Brontë, Patrick Branwell, 1817-1848 [person] ; Brontë, Emily, 1818-1848 [person] ; Jean, Dominique [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre : précédé de, Oeuvres de jeunesse, 1826-1847",Jane Eyre. French ; Poems ; Works,Bibliothèque de la Pléiade,542 [Bibliothèque de la Pléiade],France,Paris,Gallimard,2008,,"xxxix, 1723 pages, 18 cm",823.8,YF.2010.a.11485,English literature--Novels--19th century--Critical edition,,French,In slip case ; Translated from the English,
14761640,Monograph,Notated music ; Text,Volume,,,9784841931365 ; 9784841931372 ; 9784841931808,"Higuchi, Akiko",,person,,"Brontë Parsonage Museum, Bonnell 133 [organisation] ; Higuchi, Akiko [person]",The Brontës and music,Branwell Brontë's flute book ; Brontës' world of music,,,Japan,Tokyo,Yushodo,2008,2nd edition,"1 score (386 pages) + 1 book (380 pages), 27 cm (in slip case)",780,E.1920.p,"Brontë, Charlotte, 1816-1855--Knowledge--Music ; Songs with piano ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brontë, Anne, 1820-1849--Knowledge--Music ; Hymns, English ; Sacred songs with piano ; Brontë, Emily, 1818-1848--Knowledge--Music ; Music in literature ; Flute music ; Brontë, Anne, 1820-1849--Criticism and interpretation",,,"volume 1 is an edition of two collections of hymns, songs, arias, traditional songs and tunes, etc, the first collection for voice and unfigured bass or piano, the second for unaccompanied flute. The original manuscript form respectively Bonnell manuscript 133 & 56 in the Brontë Parsonage Museum Library ; volume 2 is a monograph",
14769138,Monograph,Language material ; Text,Volume,GBB048474,,9780198386827,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,Oxford,Oxford University Press,2008,"New edition, introduction by Catherine Thompson","xi, 354 pages, 20 cm",823.8,H.2010/.6112,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Yorkshire (England)--Social life and customs--Fiction",Fiction,English,,
14783486,Monograph,Language material ; Text,Volume,GBA8C1889,,9780791097946,"Brackett, Virginia",,person,author,"Brackett, Virginia, author [person]",Bloom's how to write about the Brontës,Brontës ; How to write about the Brontës,Bloom's how to write about literature series,,England ; United States of America,London ; New York,Bloom ; Eurospan,2009,,"vi, 281 pages, 24 cm",823.809,YK.2009.a.31903,"Brontë, Emily, 1818-1848--Criticism and interpretation ; Criticism--Authorship ; Report writing ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation",,English,,
14785401,Monograph,Language material ; Text,Volume,GBB055003,,9781551112473,"Brontë, Emily",1818-1848,person,author,"Heywood, Christopher, editor [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Broadview literary texts,,England,"Peterborough, Ont",Broadview,2002,,"519 pages, illustrations, maps, 22 cm",823.8,H.2010/.7920,"Foundlings--Fiction ; Rejection (Psychology)--Fiction ; Yorkshire (England)--Fiction ; Rural families--Fiction ; Triangles (Interpersonal relations)--Fiction ; Brontë, Emily, 1818-1848",Fiction,English,,
14806017,Monograph,Language material ; Text,Online resource,,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,R. E,1893,,382 pages (8°),,Digital Store 012621.g.5,,,English,,
14853241,Monograph,Language material ; Text,Volume,GBA8D9720,,9781906370138,"Pipe, Jim",1966-,person,author,"Pipe, Jim, 1966-, author [person] ; Spender, Nik, illustrator [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Graffex,,England,Brighton,Book House,2009,,"48 pages, illustrations, 26 cm",741.5,YK.2010.b.5985,"Rejection (Psychology)--Comic books, strips, etc--Juvenile fiction ; Yorkshire (England)--Social life and customs--Comic books, strips, etc--Juvenile fiction ; Heathcliff, (Fictitious character from Brontë)--Comic books, strips, etc--Juvenile fiction ; Foundlings--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel,English,Includes index,
14899513,Monograph,Language material ; Text,Volume,,,9785275018370,"Mitrofanova, Ekaterina",,person,author,"Mitrofanova, Ekaterina, author [person] ; Митрофанова, Екатерина [person]",Rokovai︠a︡ taĭna sester Bronte : roman,Роковая тайна сестер Бронте : роман,Izbrannit︠s︡y sudʹby ; Избранницы судьбы,,Russia,Moskva ; Москва,TERRA--Knizhnyĭ klub ; ТЕРРА--Книжный клуб,2008,"2-е изд, испр. и доп ; 2e izdaniye, ispravlennoe i dopolnennoe","685 pages, 21 cm",,YF.2011.a.11083,"Brontë, Patrick, 1777-1861--Fiction ; Brontë, Emily, 1818-1848--Fiction ; Brontë, Anne, 1820-1849--Fiction ; Brontë family--Fiction ; Brontë, Charlotte, 1816-1855--Fiction",Fiction,Russian,,
14906848,Monograph,Language material ; Text,Volume,GBB051318,,9781848240827,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,HV classic fiction,,England,London,,2008,HV classics edition,"329 pages, 24 cm",823.8,H.2010/.8110,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Foundlings--Fiction ; Yorkshire (England)--Social life and customs--Fiction ; Rejection (Psychology)--Fiction ; Triangles (Interpersonal relations)--Fiction",Fiction,English,paperback,
14982121,Monograph,Notated music,Volume,,,,"Dixon, Joseph Henry",,person,,"Dixon, Joseph Henry [person] ; Brontë, Emily, 1818-1848 [person]",The Last lines,,,,England,Harrogate,Wuthering Heights Permanent Exhibition,,,,780,RB.23.b.7328 ; W85/1547,,,,,
15010124,Monograph,Notated music,Volume,,,,"Liddell, Claire",,person,,"Brontë, Emily, 1818-1848 [person] ; Liddell, Claire [person]","Affirmations : for tenor, horn and piano",Affirmations,,,England,London,Barry Brunton,1984,,score 17 sheets (facsimile),780,H02/2595,,,,,
15023724,Monograph,Notated music,Volume,,,,"Payne, Anthony",,person,,"Brontë, Emily, 1818-1848 [person] ; Payne, Anthony [person]","A little Whitsuntide cantata : for unaccompanied Chorus, SATB",,Contemporary Church Music Series,,England,Chester ; London,,1978,,1 score (16 pages),780,W88/3244,,,English,,
15171074,Monograph,Language material ; Text,Volume,GBA943028,,9781906230203,"Tavner, Gill",,person,author,"Lubach, Vanessa, illustrator [person] ; Tavner, Gill, author [person] ; Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,,,England,Stroud,Real Reads,2009,,"64 pages, colour illustrations, 20 cm",823.92,YK.2010.a.26857,Yorkshire (England)--Social life and customs--Juvenile fiction,Children's fiction,English,,
15176099,Monograph,Language material ; Text,Volume,GBA945718,,9780007326747,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,,,England,London,HarperCollins,2009,,"430 pages, 20 cm",823.8,H.2009/.5607,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Foundlings--Fiction ; Yorkshire (England)--Social life and customs--Fiction ; Rejection (Psychology)--Fiction ; Triangles (Interpersonal relations)--Fiction",Fiction ; Young adult fiction,English,,
15260998,Monograph,Language material ; Text,Volume,GBA949224,,9780141326696,"Brontë, Emily",1818-1848,person,author,"Hinton, S. E., writer [person] ; Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Puffin classics,,England,London,Puffin,2009,New edition,"xxix, 484 pages, 18 cm",823.8,H.2010/.8691,"Heathcliff, (Fictitious character from Brontë)--Fiction ; Yorkshire (England)--Social life and customs--Fiction",Fiction ; Young adult fiction,English,,
15262067,Monograph,Language material ; Text,Volume,GBA950292,,9781848373204,"Brontë, Emily",1818-1848,person,,"Brontë, Emily, 1818-1848 [person]",Wuthering Heights,,Arcturus classics,,England,London,Arcturus,2009,,"1 volume, 20 cm",823.8,,Yorkshire (England)--Social life and customs--Fiction,Fiction,English,,
15284039,Monograph,Language material ; Text,Volume,GBB048722,,,"Brontë, Emily",1818-1848,person,author,"Brontë, Emily, 1818-1848, author [person]",Wuthering Heights,,Worth literary classics,,England,Cambridge,Worth Press,2008,,"xxix, 321 pages, colour illustrations, colour map, 23 cm",823.8,Nov.2010/644,,,English,,
15284936,Monograph,Language material ; Text,Volume,GBA955747,,9781408120781,"Verma, Deepak",,person,,"Lyric Theatre (Hammersmith, London, England) [organisation] ; Tamasha (Theatre company) [organisation] ; Bhuchar, Sudha [person] ; Brontë, Emily, 1818-1848 [person] ; Cross, Felix [person] ; Verma, Deepak [person] ; Oldham Coliseum Theatre [organisation] ; Mukherjee, Sheema [person]",Wuthering Heights,,,,England,London,Methuen Drama,2009,,"16, 78 pages, 20 cm",782.140268,YK.2010.a.15060,Rajasthan (India)--Drama ; Musicals--Librettos,Drama ; Libretto,English,"Includes the programme ([16] p.) for the Tamasha / Oldham Coliseum Theatre production in association with the Lyric, Hammersmith, 2009 ; Without the music",
